DataBase Sheet (Manager) : https://docs.google.com/spreadsheets/d/1rqPLIFtqHWfkgOXIt27qm77dhEr7lsQ1gPu2oKqGiow/edit?gid=0#gid=0










Category	CategoryIcon	CategoryImage	ItemName	Price	ItemImage	Description																			
ميكس فواكه	fa-bowl-food	Images/cocktail.png	عرايس يمني	120		مانجو + موز + بلح + حلاوة + عسل + تفاح قطع + مكسرات + جوز هند + زبيب																			
الرضعات	fa-bottle-water	Images/cocktail.png	رضعة الفيل	70		سوبيا + فانيليا + شيكولاتة																			
الرضعات	fa-bottle-water	Images/cocktail.png	رضعة القرد	70		سوبيا + موز + سوداني																			
الرضعات	fa-bottle-water	Images/cocktail.png	رضعة الأسد	80		ميكس فواكه + أيس كريم + سوبيا																			
الرضعات	fa-bottle-water	Images/cocktail.png	لبن العصفور	70		سوبيا + أيس كريم + موز																			
ميلك شيك	fa-ice-cream	Images/milkshake.png	تويـنكيز	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	هافموز	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	براونيز	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	شوكولاتة	M 50 | L 60																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	فانيليا	M 50 | L 60																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	بوريو	M 55 | L 65																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	مانجو	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	فراولة	M 55 | L 65																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	موز + فراولة	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	أوريو	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	كراميل	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	لوتس	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	بيستاشيو	M 70 | L 80																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	زبدة فول سوداني	M 60 | L 70																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	ماتشا	M 70 | L 80																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	كيندر	L 150																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	سنيكرز	L 150																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	كيت كات	L 150																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	جلاكسي	L 150																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	كنافة بيستاشيو	L 80																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	تشيز كيك فراولة	L 80																					
ميلك شيك	fa-ice-cream	Images/milkshake.png	دولسي دي ليتشي	L 80																					
عالم المكسرات	fa-seedling	Images/nuts.webp	كاجو فانيليا	90																					
عالم المكسرات	fa-seedling	Images/nuts.webp	بندق فانيليا	90																					
عالم المكسرات	fa-seedling	Images/nuts.webp	سوداني فانيليا	80																					
عالم المكسرات	fa-seedling	Images/nuts.webp	ميكس مكسرات فانيليا	100																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو بالعسل	M 70 | L 80																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو + مانجو	M 75 | L 85																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو + مانجو + كيوي	M 80 | L 90																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو + مانجو + موز	M 80 | L 90																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو + بلح + موز	M 80 | L 90																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو + مكسرات	L 100																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو حلاوة	M 75 | L 85																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو قشطة	L 100																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو مكسرات + قطع فواكه	L 120																					
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو الكبير أوي	120		أفوكادو + بلح + كيوي قطع + تفاح قطع + أيس كريم + مكسرات + عسل																			
عالم الأفوكادو	fa-leaf	Images/avocado.png	أفوكادو الأسد	110		أفوكادو + جرجير + حلاوة + كاجو + عسل + لبن																			
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	آيس كوفي	50																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	وايت موكا	60																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	فانيليا لاتيه	60																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	سبانش لاتيه	70																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	آيس موكا	60																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	ماتشا فرابيه	70																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	كراميل فرابيه	60																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	فانيليا فرابيه	60																					
قهوة باردة	fa-snowflake	Images/icedcofee.jpg	كوكيز موكا فرابيه	70																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين نعناع	L 40 | جامبو 50																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين بلوبيري	L 40 | جامبو 50																					
موهيتو وصن شاين	fa-martini-glass-citrus	Images/mojito.png	صن شاين ريد بيري	L 40 | جامبو 50																					
